max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_mae,test_mae,test_r2,trees
4,0.02,0.6,0.7,1,9.47736930847168,9.500463485717773,0.3713747262954712,237
4,0.02,0.6,0.7,3,9.443534851074219,9.479005813598633,0.3757115602493286,358
4,0.02,0.6,0.7,5,9.400009155273438,9.466876983642578,0.374722957611084,456
4,0.02,0.6,0.7,10,9.432585716247559,9.496573448181152,0.3729695677757263,365
4,0.02,0.6,0.8,1,9.473552703857422,9.510113716125488,0.3714844584465027,237
4,0.02,0.6,0.8,3,9.43258285522461,9.489274978637695,0.37263500690460205,328
4,0.02,0.6,0.8,5,9.418917655944824,9.47767162322998,0.3742082715034485,376
4,0.02,0.6,0.8,10,9.430808067321777,9.469809532165527,0.3749196529388428,339
4,0.02,0.7,0.6,1,9.465964317321777,9.484150886535645,0.3751900792121887,274
4,0.02,0.7,0.6,3,9.457235336303711,9.494723320007324,0.3727632761001587,299
4,0.02,0.7,0.6,5,9.470133781433105,9.486410140991211,0.371757447719574,310
4,0.02,0.7,0.6,10,9.470597267150879,9.50790023803711,0.37258702516555786,274
4,0.02,0.7,0.7,1,9.458597183227539,9.481894493103027,0.3716210722923279,316
4,0.02,0.7,0.7,3,9.442741394042969,9.493249893188477,0.3697558641433716,274
4,0.02,0.7,0.7,5,9.459345817565918,9.491661071777344,0.3695390820503235,303
4,0.02,0.7,0.7,10,9.419103622436523,9.481160163879395,0.37180691957473755,316
4,0.02,0.7,0.8,1,9.42523193359375,9.468717575073242,0.37221795320510864,289
4,0.02,0.7,0.8,3,9.40123462677002,9.449254989624023,0.37256985902786255,351
4,0.02,0.7,0.8,5,9.3991060256958,9.448089599609375,0.3723266124725342,341
4,0.02,0.7,0.8,10,9.40762996673584,9.430274963378906,0.3750187158584595,347
4,0.02,0.8,0.6,1,9.453370094299316,9.494902610778809,0.3713982105255127,289
4,0.02,0.8,0.6,3,9.472861289978027,9.513283729553223,0.36918503046035767,255
4,0.02,0.8,0.6,5,9.477897644042969,9.50487995147705,0.37035226821899414,289
4,0.02,0.8,0.6,10,9.456300735473633,9.488994598388672,0.3699376583099365,308
4,0.02,0.8,0.7,1,9.416910171508789,9.452630996704102,0.37231725454330444,321
4,0.02,0.8,0.7,3,9.433920860290527,9.462385177612305,0.3725106120109558,316
4,0.02,0.8,0.7,5,9.421278953552246,9.453936576843262,0.37239718437194824,337
4,0.02,0.8,0.7,10,9.423749923706055,9.464219093322754,0.370633065700531,290
4,0.02,0.8,0.8,1,9.40285873413086,9.444804191589355,0.37429046630859375,318
4,0.02,0.8,0.8,3,9.420144081115723,9.458906173706055,0.37306761741638184,310
4,0.02,0.8,0.8,5,9.431879043579102,9.458374977111816,0.37339961528778076,317
4,0.02,0.8,0.8,10,9.417380332946777,9.449186325073242,0.373726487159729,314
4,0.03,0.6,0.6,1,9.496376991271973,9.555477142333984,0.3657456040382385,230
4,0.03,0.6,0.6,3,9.510205268859863,9.564373970031738,0.362984836101532,157
4,0.03,0.6,0.6,5,9.491086959838867,9.571660041809082,0.36241811513900757,212
4,0.03,0.6,0.6,10,9.50430679321289,9.561630249023438,0.3646421432495117,230
4,0.03,0.6,0.7,1,9.49023151397705,9.489897727966309,0.36986303329467773,210
4,0.03,0.6,0.7,3,9.484932899475098,9.49282455444336,0.3707526922225952,231
4,0.03,0.6,0.7,5,9.49187183380127,9.514884948730469,0.36855852603912354,237
4,0.03,0.6,0.7,10,9.467133522033691,9.509193420410156,0.36775636672973633,209
4,0.03,0.6,0.8,1,9.470686912536621,9.522995948791504,0.3678129315376282,211
4,0.03,0.6,0.8,3,9.463624954223633,9.485644340515137,0.37052440643310547,226
4,0.03,0.6,0.8,5,9.488919258117676,9.55268669128418,0.3659607172012329,226
4,0.03,0.6,0.8,10,9.459630966186523,9.51284122467041,0.37130206823349,212
4,0.03,0.7,0.6,1,9.457565307617188,9.461078643798828,0.3737468719482422,209
4,0.03,0.7,0.6,3,9.454298973083496,9.49887752532959,0.36982280015945435,197
4,0.03,0.7,0.6,5,9.470502853393555,9.48582935333252,0.37117379903793335,195
4,0.03,0.7,0.6,10,9.456705093383789,9.479103088378906,0.37168633937835693,195
4,0.03,0.7,0.7,1,9.42558479309082,9.44767951965332,0.3755606412887573,201
4,0.03,0.7,0.7,3,9.429450988769531,9.44798755645752,0.3742085099220276,208
