GAME_ID,HOME_TEAM_ID,HOME_REST_DAYS,HOME_IS_B2B,HOME_GAMES_IN_LAST_7,HOME_WIN_STREAK,HOME_GAME_NUMBER,HOME_CONSECUTIVE_AWAY,HOME_HOME_WIN_PCT,HOME_AWAY_WIN_PCT,HOME_OVERALL_WIN_PCT,AWAY_TEAM_ID,AWAY_REST_DAYS,AWAY_IS_B2B,AWAY_GAMES_IN_LAST_7,AWAY_WIN_STREAK,AWAY_GAME_NUMBER,AWAY_CONSECUTIVE_AWAY,AWAY_HOME_WIN_PCT,AWAY_AWAY_WIN_PCT,AWAY_OVERALL_WIN_PCT,REST_ADVANTAGE,DIFF_WIN_STREAK,DIFF_GAMES_IN_LAST_7,DIFF_GAME_NUMBER,DIFF_OVERALL_WIN_PCT,HOME_ADV,SEASON,POINT_DIFF
21700256,1610612737,2,0,2,-2,18,0,0.16666666666666666,0.18181818181818182,0.17647058823529413,1610612746,2,0,3,-9,17,4,0.375,0.25,0.3125,0,7,-1,1,-0.13602941176470587,1.0,2017-18,-13
21700268,1610612737,2,0,3,-3,19,0,0.14285714285714285,0.18181818181818182,0.16666666666666666,1610612752,2,0,2,2,18,1,0.75,0.2,0.5882352941176471,0,-5,1,1,-0.42156862745098045,1.0,2017-18,12
21700280,1610612737,1,1,3,1,20,0,0.25,0.18181818181818182,0.21052631578947367,1610612761,1,1,3,-2,19,3,0.8571428571428571,0.45454545454545453,0.6111111111111112,0,3,0,1,-0.4005847953216375,1.0,2017-18,-34
21700313,1610612737,5,0,2,-1,21,0,0.2222222222222222,0.18181818181818182,0.2,1610612739,2,0,3,9,22,1,0.6363636363636364,0.7,0.6666666666666666,3,-10,-1,-1,-0.4666666666666666,1.0,2017-18,-7
21700342,1610612737,2,0,2,1,23,0,0.2,0.25,0.22727272727272727,1610612751,2,0,2,-1,23,1,0.4,0.3333333333333333,0.36363636363636365,0,2,0,0,-0.13636363636363638,1.0,2017-18,-20
21700378,1610612737,3,0,2,-2,25,0,0.18181818181818182,0.23076923076923078,0.20833333333333334,1610612753,1,1,4,-1,28,1,0.5,0.3333333333333333,0.4074074074074074,2,-1,-2,-3,-0.19907407407407404,1.0,2017-18,7
21700413,1610612737,2,0,3,-2,28,0,0.25,0.2,0.2222222222222222,1610612765,2,0,3,-7,28,1,0.6153846153846154,0.42857142857142855,0.5185185185185185,0,5,0,0,-0.2962962962962963,1.0,2017-18,-14
21700443,1610612737,3,0,3,-4,30,0,0.23076923076923078,0.1875,0.20689655172413793,1610612748,2,0,3,2,30,1,0.46153846153846156,0.5625,0.5172413793103449,1,-6,0,0,-0.31034482758620696,1.0,2017-18,6
21700455,1610612737,2,0,3,1,31,0,0.2857142857142857,0.1875,0.23333333333333334,1610612754,2,0,3,-1,32,1,0.5882352941176471,0.5,0.5483870967741935,0,2,0,-1,-0.31505376344086017,1.0,2017-18,-10
21700484,1610612737,1,1,3,-2,33,0,0.26666666666666666,0.17647058823529413,0.21875,1610612742,1,1,3,-1,34,2,0.3888888888888889,0.13333333333333333,0.2727272727272727,0,-1,0,-1,-0.05397727272727271,1.0,2017-18,5
